name,base,slug,type1,type2,abil1,abil2,abilh,hp,atk,def,spa,spd,spe,form_num
Exploud,exploud,exploud,normal,,soundproof,,scrappy,104,91,63,91,73,68,0
Makuhita,makuhita,makuhita,fighting,,thickfat,guts,sheerforce,72,60,30,20,30,25,0
Hariyama,hariyama,hariyama,fighting,,thickfat,guts,sheerforce,144,120,60,40,60,50,0
Azurill,azurill,azurill,normal,fairy,thickfat,hugepower,sapsipper,50,20,40,20,40,20,0
Nosepass,nosepass,nosepass,rock,,sturdy,magnetpull,sandforce,30,45,135,45,90,30,0
Skitty,skitty,skitty,normal,,cutecharm,normalize,wonderskin,50,45,45,35,35,50,0
Delcatty,delcatty,delcatty,normal,,cutecharm,normalize,wonderskin,70,65,65,55,55,90,0
Sableye,sableye,sableye,dark,ghost,keeneye,stall,prankster,50,75,75,65,65,50,0
Mawile,mawile,mawile,steel,fairy,hypercutter,intimidate,sheerforce,50,85,85,55,55,50,0
Aron,aron,aron,steel,rock,sturdy,rockhead,heavymetal,50,70,100,40,40,30,0
Lairon,lairon,lairon,steel,rock,sturdy,rockhead,heavymetal,60,90,140,50,50,40,0
Aggron,aggron,aggron,steel,rock,sturdy,rockhead,heavymetal,70,110,180,60,60,50,0
Meditite,meditite,meditite,fighting,psychic,purepower,,telepathy,30,40,55,40,55,60,0
Medicham,medicham,medicham,fighting,psychic,purepower,,telepathy,60,60,75,60,75,80,0
Electrike,electrike,electrike,electric,,static,lightningrod,minus,40,45,40,65,40,65,0
Manectric,manectric,manectric,electric,,static,lightningrod,minus,70,75,60,105,60,105,0
Plusle,plusle,plusle,electric,,plus,,lightningrod,60,50,40,85,75,95,0
Minun,minun,minun,electric,,minus,,voltabsorb,60,40,50,75,85,95,0
Volbeat,volbeat,volbeat,bug,,illuminate,swarm,prankster,65,73,75,47,85,85,0
Illumise,illumise,illumise,bug,,oblivious,tintedlens,prankster,65,47,75,73,85,85,0
Roselia,roselia,roselia,grass,poison,naturalcure,poisonpoint,leafguard,50,60,45,100,80,65,0
Gulpin,gulpin,gulpin,poison,,liquidooze,stickyhold,gluttony,70,43,53,43,53,40,0
Swalot,swalot,swalot,poison,,liquidooze,stickyhold,gluttony,100,73,83,73,83,55,0
Carvanha,carvanha,carvanha,water,dark,roughskin,,speedboost,45,90,20,65,20,65,0
Sharpedo,sharpedo,sharpedo,water,dark,roughskin,,speedboost,70,120,40,95,40,95,0
Wailmer,wailmer,wailmer,water,,waterveil,oblivious,pressure,130,70,35,70,35,60,0
Wailord,wailord,wailord,water,,waterveil,oblivious,pressure,170,90,45,90,45,60,0
Numel,numel,numel,fire,ground,oblivious,simple,owntempo,60,60,40,65,45,35,0
Camerupt,camerupt,camerupt,fire,ground,magmaarmor,solidrock,angerpoint,70,100,70,105,75,40,0
Torkoal,torkoal,torkoal,fire,,whitesmoke,drought,shellarmor,70,85,140,85,70,20,0
Spoink,spoink,spoink,psychic,,thickfat,owntempo,gluttony,60,25,35,70,80,60,0
Grumpig,grumpig,grumpig,psychic,,thickfat,owntempo,gluttony,80,45,65,90,110,80,0
Spinda,spinda,spinda,normal,,owntempo,tangledfeet,contrary,60,60,60,60,60,60,0
Trapinch,trapinch,trapinch,ground,,hypercutter,arenatrap,sheerforce,45,100,45,45,45,10,0
Vibrava,vibrava,vibrava,ground,dragon,levitate,,,50,70,50,50,50,70,0
Flygon,flygon,flygon,ground,dragon,levitate,,,80,100,80,80,80,100,0
Cacnea,cacnea,cacnea,grass,,sandveil,,waterabsorb,50,85,40,85,40,35,0
Cacturne,cacturne,cacturne,grass,dark,sandveil,,waterabsorb,70,115,60,115,60,55,0
Swablu,swablu,swablu,normal,flying,naturalcure,,cloudnine,45,40,60,40,75,50,0
Altaria,altaria,altaria,dragon,flying,naturalcure,,cloudnine,75,70,90,70,105,80,0
Zangoose,zangoose,zangoose,normal,,immunity,,toxicboost,73,115,60,60,60,90,0
Seviper,seviper,seviper,poison,,shedskin,,infiltrator,73,100,60,100,60,65,0
Lunatone,lunatone,lunatone,rock,psychic,levitate,,,90,55,65,95,85,70,0
Solrock,solrock,solrock,rock,psychic,levitate,,,90,95,85,55,65,70,0
Barboach,barboach,barboach,water,ground,oblivious,anticipation,hydration,50,48,43,46,41,60,0
Whiscash,whiscash,whiscash,water,ground,oblivious,anticipation,hydration,110,78,73,76,71,60,0
Corphish,corphish,corphish,water,,hypercutter,shellarmor,adaptability,43,80,65,50,35,35,0
Crawdaunt,crawdaunt,crawdaunt,water,dark,hypercutter,shellarmor,adaptability,63,120,85,90,55,55,0
Baltoy,baltoy,baltoy,ground,psychic,levitate,,,40,40,55,40,70,55,0
Claydol,claydol,claydol,ground,psychic,levitate,,,60,70,105,70,120,75,0
Lileep,lileep,lileep,rock,grass,suctioncups,,stormdrain,66,41,77,61,87,23,0
Cradily,cradily,cradily,rock,grass,suctioncups,,stormdrain,86,81,97,81,107,43,0
Anorith,anorith,anorith,rock,bug,battlearmor,,swiftswim,45,95,50,40,50,75,0
Armaldo,armaldo,armaldo,rock,bug,battlearmor,,swiftswim,75,125,100,70,80,45,0
Feebas,feebas,feebas,water,,swiftswim,oblivious,adaptability,20,15,20,10,55,80,0
Milotic,milotic,milotic,water,,marvelscale,competitive,cutecharm,95,60,79,100,125,81,0
Castform,castform,castform,normal,,forecast,,,70,70,70,70,70,70,0
Kecleon,kecleon,kecleon,normal,,colorchange,,protean,60,90,70,60,120,40,0
Shuppet,shuppet,shuppet,ghost,,insomnia,frisk,cursedbody,44,75,35,63,33,45,0
Banette,banette,banette,ghost,,insomnia,frisk,cursedbody,64,115,65,83,63,65,0
Duskull,duskull,duskull,ghost,,levitate,,frisk,20,40,90,30,90,25,0
Dusclops,dusclops,dusclops,ghost,,pressure,,frisk,40,70,130,60,130,25,0
Tropius,tropius,tropius,grass,flying,chlorophyll,solarpower,harvest,99,68,83,72,87,51,0
Chimecho,chimecho,chimecho,psychic,,levitate,,,75,50,80,95,90,65,0
Absol,absol,absol,dark,,pressure,superluck,justified,65,130,60,75,60,75,0
Wynaut,wynaut,wynaut,psychic,,shadowtag,,telepathy,95,23,48,23,48,23,0
Snorunt,snorunt,snorunt,ice,,innerfocus,icebody,moody,50,50,50,50,50,50,0
Glalie,glalie,glalie,ice,,innerfocus,icebody,moody,80,80,80,80,80,80,0
Spheal,spheal,spheal,ice,water,thickfat,icebody,oblivious,70,40,50,55,50,25,0
Sealeo,sealeo,sealeo,ice,water,thickfat,icebody,oblivious,90,60,70,75,70,45,0
Walrein,walrein,walrein,ice,water,thickfat,icebody,oblivious,110,80,90,95,90,65,0
Clamperl,clamperl,clamperl,water,,shellarmor,,rattled,35,64,85,74,55,32,0
Huntail,huntail,huntail,water,,swiftswim,,waterveil,55,104,105,94,75,52,0
Gorebyss,gorebyss,gorebyss,water,,swiftswim,,hydration,55,84,105,114,75,52,0
Relicanth,relicanth,relicanth,water,rock,swiftswim,rockhead,sturdy,100,90,130,45,65,55,0
Luvdisc,luvdisc,luvdisc,water,,swiftswim,,hydration,43,30,55,40,65,97,0
Bagon,bagon,bagon,dragon,,rockhead,,sheerforce,45,75,60,40,30,50,0
Shelgon,shelgon,shelgon,dragon,,rockhead,,overcoat,65,95,100,60,50,50,0
Salamence,salamence,salamence,dragon,flying,intimidate,,moxie,95,135,80,110,80,100,0
Beldum,beldum,beldum,steel,psychic,clearbody,,lightmetal,40,55,80,35,60,30,0
Metang,metang,metang,steel,psychic,clearbody,,lightmetal,60,75,100,55,80,50,0
Metagross,metagross,metagross,steel,psychic,clearbody,,lightmetal,80,135,130,95,90,70,0
Regirock,regirock,regirock,rock,,clearbody,,sturdy,80,100,200,50,100,50,0
Regice,regice,regice,ice,,clearbody,,icebody,80,50,100,100,200,50,0
Registeel,registeel,registeel,steel,,clearbody,,lightmetal,80,75,150,75,150,50,0
Latias,latias,latias,dragon,psychic,levitate,,,80,80,90,110,130,110,0
Latios,latios,latios,dragon,psychic,levitate,,,80,90,80,130,110,110,0
Kyogre,kyogre,kyogre,water,,drizzle,,,100,100,90,150,140,90,0
Groudon,groudon,groudon,ground,,drought,,,100,150,140,100,90,90,0
Rayquaza,rayquaza,rayquaza,dragon,flying,airlock,,,105,150,90,150,90,95,0
Jirachi,jirachi,jirachi,steel,psychic,serenegrace,,,100,100,100,100,100,100,0
Deoxys,deoxys,deoxys,psychic,,pressure,,,50,150,50,150,50,150,0
Turtwig,turtwig,turtwig,grass,,overgrow,,shellarmor,55,68,64,45,55,31,0
Grotle,grotle,grotle,grass,,overgrow,,shellarmor,75,89,85,55,65,36,0
Torterra,torterra,torterra,grass,ground,overgrow,,shellarmor,95,109,105,75,85,56,0
Chimchar,chimchar,chimchar,fire,,blaze,,ironfist,44,58,44,58,44,61,0
Monferno,monferno,monferno,fire,fighting,blaze,,ironfist,64,78,52,78,52,81,0
Infernape,infernape,infernape,fire,fighting,blaze,,ironfist,76,104,71,104,71,108,0
Piplup,piplup,piplup,water,,torrent,,competitive,53,51,53,61,56,40,0
Prinplup,prinplup,prinplup,water,,torrent,,competitive,64,66,68,81,76,50,0
Empoleon,empoleon,empoleon,water,steel,torrent,,competitive,84,86,88,111,101,60,0
Starly,starly,starly,normal,flying,keeneye,,reckless,40,55,30,30,30,60,0
Staravia,staravia,staravia,normal,flying,intimidate,,reckless,55,75,50,40,40,80,0
Staraptor,staraptor,staraptor,normal,flying,intimidate,,reckless,85,120,70,50,60,100,0
Bidoof,bidoof,bidoof,normal,,simple,unaware,moody,59,45,40,35,40,31,0
Bibarel,bibarel,bibarel,normal,water,simple,unaware,moody,79,85,60,55,60,71,0
Kricketot,kricketot,kricketot,bug,,shedskin,,runaway,37,25,41,25,41,25,0
Kricketune,kricketune,kricketune,bug,,swarm,,technician,77,85,51,55,51,65,0
Shinx,shinx,shinx,electric,,rivalry,intimidate,guts,45,65,34,40,34,45,0
Luxio,luxio,luxio,electric,,rivalry,intimidate,guts,60,85,49,60,49,60,0
Luxray,luxray,luxray,electric,,rivalry,intimidate,guts,80,120,79,95,79,70,0
Budew,budew,budew,grass,poison,naturalcure,poisonpoint,leafguard,40,30,35,50,70,55,0
Roserade,roserade,roserade,grass,poison,naturalcure,poisonpoint,technician,60,70,65,125,105,90,0
Cranidos,cranidos,cranidos,rock,,moldbreaker,,sheerforce,67,125,40,30,30,58,0
Rampardos,rampardos,rampardos,rock,,moldbreaker,,sheerforce,97,165,60,65,50,58,0
Shieldon,shieldon,shieldon,rock,steel,sturdy,,soundproof,30,42,118,42,88,30,0
Bastiodon,bastiodon,bastiodon,rock,steel,sturdy,,soundproof,60,52,168,47,138,30,0
Burmy,burmy,burmy,bug,,shedskin,,overcoat,40,29,45,29,45,36,0
Wormadam,wormadam,wormadam,bug,grass,anticipation,,overcoat,60,59,85,79,105,36,0
Mothim,mothim,mothim,bug,flying,swarm,,tintedlens,70,94,50,94,50,66,0
Combee,combee,combee,bug,flying,honeygather,,hustle,30,30,42,30,42,70,0
Vespiquen,vespiquen,vespiquen,bug,flying,pressure,,unnerve,70,80,102,80,102,40,0
Pachirisu,pachirisu,pachirisu,electric,,runaway,pickup,voltabsorb,60,45,70,45,90,95,0
Buizel,buizel,buizel,water,,swiftswim,,waterveil,55,65,35,60,30,85,0
Floatzel,floatzel,floatzel,water,,swiftswim,,waterveil,85,105,55,85,50,115,0
Cherubi,cherubi,cherubi,grass,,chlorophyll,,,45,35,45,62,53,35,0
Cherrim,cherrim,cherrim,grass,,flowergift,,,70,60,70,87,78,85,0
Shellos,shellos,shellos,water,,stickyhold,stormdrain,sandforce,76,48,48,57,62,34,0
Gastrodon,gastrodon,gastrodon,water,ground,stickyhold,stormdrain,sandforce,111,83,68,92,82,39,0
Ambipom,ambipom,ambipom,normal,,technician,pickup,skilllink,75,100,66,60,66,115,0
Drifloon,drifloon,drifloon,ghost,flying,aftermath,unburden,flareboost,90,50,34,60,44,70,0
Drifblim,drifblim,drifblim,ghost,flying,aftermath,unburden,flareboost,150,80,44,90,54,80,0
Buneary,buneary,buneary,normal,,runaway,klutz,limber,55,66,44,44,56,85,0
Lopunny,lopunny,lopunny,normal,,cutecharm,klutz,limber,65,76,84,54,96,105,0
Mismagius,mismagius,mismagius,ghost,,levitate,,,60,60,60,105,105,105,0
Honchkrow,honchkrow,honchkrow,dark,flying,insomnia,superluck,moxie,100,125,52,105,52,71,0
Glameow,glameow,glameow,normal,,limber,owntempo,keeneye,49,55,42,42,37,85,0
Purugly,purugly,purugly,normal,,thickfat,owntempo,defiant,71,82,64,64,59,112,0
Chingling,chingling,chingling,psychic,,levitate,,,45,30,50,65,50,45,0
Stunky,stunky,stunky,poison,dark,stench,aftermath,keeneye,63,63,47,41,41,74,0
Skuntank,skuntank,skuntank,poison,dark,stench,aftermath,keeneye,103,93,67,71,61,84,0
Bronzor,bronzor,bronzor,steel,psychic,levitate,heatproof,heavymetal,57,24,86,24,86,23,0
Bronzong,bronzong,bronzong,steel,psychic,levitate,heatproof,heavymetal,67,89,116,79,116,33,0
Bonsly,bonsly,bonsly,rock,,sturdy,rockhead,rattled,50,80,95,10,45,10,0
Mime Jr.,mimejr,mimejr,psychic,fairy,soundproof,filter,technician,20,25,45,70,90,60,0
Happiny,happiny,happiny,normal,,naturalcure,serenegrace,friendguard,100,5,5,15,65,30,0
Chatot,chatot,chatot,normal,flying,keeneye,tangledfeet,bigpecks,76,65,45,92,42,91,0
Spiritomb,spiritomb,spiritomb,ghost,dark,pressure,,infiltrator,50,92,108,92,108,35,0
Gible,gible,gible,dragon,ground,sandveil,,roughskin,58,70,45,40,45,42,0
Gabite,gabite,gabite,dragon,ground,sandveil,,roughskin,68,90,65,50,55,82,0
Garchomp,garchomp,garchomp,dragon,ground,sandveil,,roughskin,108,130,95,80,85,102,0
Munchlax,munchlax,munchlax,normal,,pickup,thickfat,gluttony,135,85,40,40,85,5,0
Riolu,riolu,riolu,fighting,,steadfast,innerfocus,prankster,40,70,40,35,40,60,0
Lucario,lucario,lucario,fighting,steel,steadfast,innerfocus,justified,70,110,70,115,70,90,0
Hippopotas,hippopotas,hippopotas,ground,,sandstream,,sandforce,68,72,78,38,42,32,0
Hippowdon,hippowdon,hippowdon,ground,,sandstream,,sandforce,108,112,118,68,72,47,0
Skorupi,skorupi,skorupi,poison,bug,battlearmor,sniper,keeneye,40,50,90,30,55,65,0
Drapion,drapion,drapion,poison,dark,battlearmor,sniper,keeneye,70,90,110,60,75,95,0
Croagunk,croagunk,croagunk,poison,fighting,anticipation,dryskin,poisontouch,48,61,40,61,40,50,0
Toxicroak,toxicroak,toxicroak,poison,fighting,anticipation,dryskin,poisontouch,83,106,65,86,65,85,0
Carnivine,carnivine,carnivine,grass,,levitate,,,74,100,72,90,72,46,0
Finneon,finneon,finneon,water,,swiftswim,stormdrain,waterveil,49,49,56,49,61,66,0
Lumineon,lumineon,lumineon,water,,swiftswim,stormdrain,waterveil,69,69,76,69,86,91,0
Mantyke,mantyke,mantyke,water,flying,swiftswim,waterabsorb,waterveil,45,20,50,60,120,50,0
Snover,snover,snover,grass,ice,snowwarning,,soundproof,60,62,50,62,60,40,0
Abomasnow,abomasnow,abomasnow,grass,ice,snowwarning,,soundproof,90,92,75,92,85,60,0
Weavile,weavile,weavile,dark,ice,pressure,,pickpocket,70,120,65,45,85,125,0
Magnezone,magnezone,magnezone,electric,steel,magnetpull,sturdy,analytic,70,70,115,130,90,60,0
Lickilicky,lickilicky,lickilicky,normal,,owntempo,oblivious,cloudnine,110,85,95,80,95,50,0
Rhyperior,rhyperior,rhyperior,ground,rock,lightningrod,solidrock,reckless,115,140,130,55,55,40,0
Tangrowth,tangrowth,tangrowth,grass,,chlorophyll,leafguard,regenerator,100,100,125,110,50,50,0
Electivire,electivire,electivire,electric,,motordrive,,vitalspirit,75,123,67,95,85,95,0
Magmortar,magmortar,magmortar,fire,,flamebody,,vitalspirit,75,95,67,125,95,83,0
Togekiss,togekiss,togekiss,fairy,flying,hustle,serenegrace,superluck,85,50,95,120,115,80,0
Yanmega,yanmega,yanmega,bug,flying,speedboost,tintedlens,frisk,86,76,86,116,56,95,0
Leafeon,leafeon,leafeon,grass,,leafguard,,chlorophyll,65,110,130,60,65,95,0
Glaceon,glaceon,glaceon,ice,,snowcloak,,icebody,65,60,110,130,95,65,0
Gliscor,gliscor,gliscor,ground,flying,hypercutter,sandveil,poisonheal,75,95,125,45,75,95,0
Mamoswine,mamoswine,mamoswine,ice,ground,oblivious,snowcloak,thickfat,110,130,80,70,60,80,0
Porygon-Z,porygonz,porygonz,normal,,adaptability,download,analytic,85,80,70,135,75,90,0
Gallade,gallade,gallade,psychic,fighting,steadfast,sharpness,justified,68,125,65,65,115,80,0
Probopass,probopass,probopass,rock,steel,sturdy,magnetpull,sandforce,60,55,145,75,150,40,0
Dusknoir,dusknoir,dusknoir,ghost,,pressure,,frisk,45,100,135,65,135,45,0
Froslass,froslass,froslass,ice,ghost,snowcloak,,cursedbody,70,80,70,80,70,110,0
Rotom,rotom,rotom,electric,ghost,levitate,,,50,50,77,95,77,91,0
Uxie,uxie,uxie,psychic,,levitate,,,75,75,130,75,130,95,0
Mesprit,mesprit,mesprit,psychic,,levitate,,,80,105,105,105,105,80,0
Azelf,azelf,azelf,psychic,,levitate,,,75,125,70,125,70,115,0
Dialga,dialga,dialga,steel,dragon,pressure,,telepathy,100,120,120,150,100,90,0
Palkia,palkia,palkia,water,dragon,pressure,,telepathy,90,120,100,150,120,100,0
Heatran,heatran,heatran,fire,steel,flashfire,,flamebody,91,90,106,130,106,77,0
Regigigas,regigigas,regigigas,normal,,slowstart,,,110,160,110,80,110,100,0
Giratina,giratina,giratina,ghost,dragon,pressure,,telepathy,150,100,120,100,120,90,0
Cresselia,cresselia,cresselia,psychic,,levitate,,,120,70,110,75,120,85,0
Phione,phione,phione,water,,hydration,,,80,80,80,80,80,80,0
Manaphy,manaphy,manaphy,water,,hydration,,,100,100,100,100,100,100,0
Darkrai,darkrai,darkrai,dark,,baddreams,,,70,90,90,135,90,125,0
Shaymin,shaymin,shaymin,grass,,naturalcure,,,100,100,100,100,100,100,0
Arceus,arceus,arceus,normal,,multitype,,,120,120,120,120,120,120,0
Victini,victini,victini,psychic,fire,victorystar,,,100,100,100,100,100,100,0
Snivy,snivy,snivy,grass,,overgrow,,contrary,45,45,55,45,55,63,0
Servine,servine,servine,grass,,overgrow,,contrary,60,60,75,60,75,83,0
Serperior,serperior,serperior,grass,,overgrow,,contrary,75,75,95,75,95,113,0
Tepig,tepig,tepig,fire,,blaze,,thickfat,65,63,45,45,45,45,0
Pignite,pignite,pignite,fire,fighting,blaze,,thickfat,90,93,55,70,55,55,0
Emboar,emboar,emboar,fire,fighting,blaze,,reckless,110,123,65,100,65,65,0
Oshawott,oshawott,oshawott,water,,torrent,,shellarmor,55,55,45,63,45,45,0
Dewott,dewott,dewott,water,,torrent,,shellarmor,75,75,60,83,60,60,0
Samurott,samurott,samurott,water,,torrent,,shellarmor,95,100,85,108,70,70,0
Patrat,patrat,patrat,normal,,runaway,keeneye,analytic,45,55,39,35,39,42,0
Watchog,watchog,watchog,normal,,illuminate,keeneye,analytic,60,85,69,60,69,77,0
Lillipup,lillipup,lillipup,normal,,vitalspirit,pickup,runaway,45,60,45,25,45,55,0
Herdier,herdier,herdier,normal,,intimidate,sandrush,scrappy,65,80,65,35,65,60,0
Stoutland,stoutland,stoutland,normal,,intimidate,sandrush,scrappy,85,110,90,45,90,80,0
Purrloin,purrloin,purrloin,dark,,limber,unburden,prankster,41,50,37,50,37,66,0
Liepard,liepard,liepard,dark,,limber,unburden,prankster,64,88,50,88,50,106,0
Pansage,pansage,pansage,grass,,gluttony,,overgrow,50,53,48,53,48,64,0
Simisage,simisage,simisage,grass,,gluttony,,overgrow,75,98,63,98,63,101,0
Pansear,pansear,pansear,fire,,gluttony,,blaze,50,53,48,53,48,64,0
Simisear,simisear,simisear,fire,,gluttony,,blaze,75,98,63,98,63,101,0
Panpour,panpour,panpour,water,,gluttony,,torrent,50,53,48,53,48,64,0
Simipour,simipour,simipour,water,,gluttony,,torrent,75,98,63,98,63,101,0
Munna,munna,munna,psychic,,forewarn,synchronize,telepathy,76,25,45,67,55,24,0
Musharna,musharna,musharna,psychic,,forewarn,synchronize,telepathy,116,55,85,107,95,29,0
Pidove,pidove,pidove,normal,flying,bigpecks,superluck,rivalry,50,55,50,36,30,43,0
Tranquill,tranquill,tranquill,normal,flying,bigpecks,superluck,rivalry,62,77,62,50,42,65,0
Unfezant,unfezant,unfezant,normal,flying,bigpecks,superluck,rivalry,80,115,80,65,55,93,0
Blitzle,blitzle,blitzle,electric,,lightningrod,motordrive,sapsipper,45,60,32,50,32,76,0
Zebstrika,zebstrika,zebstrika,electric,,lightningrod,motordrive,sapsipper,75,100,63,80,63,116,0
Roggenrola,roggenrola,roggenrola,rock,,sturdy,weakarmor,sandforce,55,75,85,25,25,15,0
Boldore,boldore,boldore,rock,,sturdy,weakarmor,sandforce,70,105,105,50,40,20,0
Gigalith,gigalith,gigalith,rock,,sturdy,weakarmor,sandforce,85,135,130,60,80,25,0
Woobat,woobat,woobat,psychic,flying,unaware,klutz,simple,65,45,43,55,43,72,0
Swoobat,swoobat,swoobat,psychic,flying,unaware,klutz,simple,67,57,55,77,55,114,0
Drilbur,drilbur,drilbur,ground,,sandrush,sandforce,moldbreaker,60,85,40,30,45,68,0
Excadrill,excadrill,excadrill,ground,steel,sandrush,sandforce,moldbreaker,110,135,60,50,65,88,0
Audino,audino,audino,normal,,healer,regenerator,klutz,103,60,86,60,86,50,0
Timburr,timburr,timburr,fighting,,guts,sheerforce,ironfist,75,80,55,25,35,35,0
Gurdurr,gurdurr,gurdurr,fighting,,guts,sheerforce,ironfist,85,105,85,40,50,40,0
Conkeldurr,conkeldurr,conkeldurr,fighting,,guts,sheerforce,ironfist,105,140,95,55,65,45,0
Tympole,tympole,tympole,water,,swiftswim,hydration,waterabsorb,50,50,40,50,40,64,0
Palpitoad,palpitoad,palpitoad,water,ground,swiftswim,hydration,waterabsorb,75,65,55,65,55,69,0
Seismitoad,seismitoad,seismitoad,water,ground,swiftswim,poisontouch,waterabsorb,105,95,75,85,75,74,0
Throh,throh,throh,fighting,,guts,innerfocus,moldbreaker,120,100,85,30,85,45,0
Sawk,sawk,sawk,fighting,,sturdy,innerfocus,moldbreaker,75,125,75,30,75,85,0
Sewaddle,sewaddle,sewaddle,bug,grass,swarm,chlorophyll,overcoat,45,53,70,40,60,42,0
Swadloon,swadloon,swadloon,bug,grass,leafguard,chlorophyll,overcoat,55,63,90,50,80,42,0
Leavanny,leavanny,leavanny,bug,grass,swarm,chlorophyll,overcoat,75,103,80,70,80,92,0
Venipede,venipede,venipede,bug,poison,poisonpoint,swarm,speedboost,30,45,59,30,39,57,0
Whirlipede,whirlipede,whirlipede,bug,poison,poisonpoint,swarm,speedboost,40,55,99,40,79,47,0
Scolipede,scolipede,scolipede,bug,poison,poisonpoint,swarm,speedboost,60,100,89,55,69,112,0
Cottonee,cottonee,cottonee,grass,fairy,prankster,infiltrator,chlorophyll,40,27,60,37,50,66,0
Whimsicott,whimsicott,whimsicott,grass,fairy,prankster,infiltrator,chlorophyll,60,67,85,77,75,116,0
Petilil,petilil,petilil,grass,,chlorophyll,owntempo,leafguard,45,35,50,70,50,30,0
Lilligant,lilligant,lilligant,grass,,chlorophyll,owntempo,leafguard,70,60,75,110,75,90,0
Basculin,basculin,basculin,water,,reckless,adaptability,moldbreaker,70,92,65,80,55,98,0
Sandile,sandile,sandile,ground,dark,intimidate,moxie,angerpoint,50,72,35,35,35,65,0
Krokorok,krokorok,krokorok,ground,dark,intimidate,moxie,angerpoint,60,82,45,45,45,74,0
Krookodile,krookodile,krookodile,ground,dark,intimidate,moxie,angerpoint,95,117,80,65,70,92,0
Darumaka,darumaka,darumaka,fire,,hustle,,innerfocus,70,90,45,15,45,50,0
Darmanitan,darmanitan,darmanitan,fire,,sheerforce,,zenmode,105,140,55,30,55,95,0
Maractus,maractus,maractus,grass,,waterabsorb,chlorophyll,stormdrain,75,86,67,106,67,60,0
Dwebble,dwebble,dwebble,bug,rock,sturdy,shellarmor,weakarmor,50,65,85,35,35,55,0
Crustle,crustle,crustle,bug,rock,sturdy,shellarmor,weakarmor,70,105,125,65,75,45,0
Scraggy,scraggy,scraggy,dark,fighting,shedskin,moxie,intimidate,50,75,70,35,70,48,0
Scrafty,scrafty,scrafty,dark,fighting,shedskin,moxie,intimidate,65,90,115,45,115,58,0
Sigilyph,sigilyph,sigilyph,psychic,flying,wonderskin,magicguard,tintedlens,72,58,80,103,80,97,0
Yamask,yamask,yamask,ghost,,mummy,,,38,30,85,55,65,30,0
Cofagrigus,cofagrigus,cofagrigus,ghost,,mummy,,,58,50,145,95,105,30,0
Tirtouga,tirtouga,tirtouga,water,rock,solidrock,sturdy,swiftswim,54,78,103,53,45,22,0
Carracosta,carracosta,carracosta,water,rock,solidrock,sturdy,swiftswim,74,108,133,83,65,32,0
Archen,archen,archen,rock,flying,defeatist,,,55,112,45,74,45,70,0
Archeops,archeops,archeops,rock,flying,defeatist,,,75,140,65,112,65,110,0
Trubbish,trubbish,trubbish,poison,,stench,stickyhold,aftermath,50,50,62,40,62,65,0
Garbodor,garbodor,garbodor,poison,,stench,weakarmor,aftermath,80,95,82,60,82,75,0
Zorua,zorua,zorua,dark,,illuminate,,,40,65,40,80,40,65,0
Zoroark,zoroark,zoroark,dark,,illuminate,,,60,105,60,120,60,105,0
Minccino,minccino,minccino,normal,,cutecharm,technician,skilllink,55,50,40,40,40,75,0
Cinccino,cinccino,cinccino,normal,,cutecharm,technician,skilllink,75,95,60,65,60,115,0
Gothita,gothita,gothita,psychic,,frisk,competitive,shadowtag,45,30,50,55,65,45,0
Gothorita,gothorita,gothorita,psychic,,frisk,competitive,shadowtag,60,45,70,75,85,55,0
Gothitelle,gothitelle,gothitelle,psychic,,frisk,competitive,shadowtag,70,55,95,95,110,65,0
Solosis,solosis,solosis,psychic,,overcoat,magicguard,regenerator,45,30,40,105,50,20,0
Duosion,duosion,duosion,psychic,,overcoat,magicguard,regenerator,65,40,50,125,60,30,0
Reuniclus,reuniclus,reuniclus,psychic,,overcoat,magicguard,regenerator,110,65,75,125,85,30,0
Ducklett,ducklett,ducklett,water,flying,keeneye,bigpecks,hydration,62,44,50,44,50,55,0
Swanna,swanna,swanna,water,flying,keeneye,bigpecks,hydration,75,87,63,87,63,98,0
Vanillite,vanillite,vanillite,ice,,icebody,snowcloak,weakarmor,36,50,50,65,60,44,0
Vanillish,vanillish,vanillish,ice,,icebody,snowcloak,weakarmor,51,65,65,80,75,59,0
Vanilluxe,vanilluxe,vanilluxe,ice,,icebody,snowwarning,weakarmor,71,95,85,110,95,79,0
Deerling,deerling,deerling,normal,grass,chlorophyll,sapsipper,serenegrace,60,60,50,40,50,75,0
Sawsbuck,sawsbuck,sawsbuck,normal,grass,chlorophyll,sapsipper,serenegrace,80,100,70,60,70,95,0
Emolga,emolga,emolga,electric,flying,static,,motordrive,55,75,60,75,60,103,0
Karrablast,karrablast,karrablast,bug,,swarm,shedskin,noguard,50,75,45,40,45,60,0
Escavalier,escavalier,escavalier,bug,steel,swarm,shellarmor,overcoat,70,135,105,60,105,20,0
Foongus,foongus,foongus,grass,poison,effectspore,,regenerator,69,55,45,55,55,15,0
Amoonguss,amoonguss,amoonguss,grass,poison,effectspore,,regenerator,114,85,70,85,80,30,0
Frillish,frillish,frillish,water,ghost,waterabsorb,cursedbody,damp,55,40,50,65,85,40,0
Jellicent,jellicent,jellicent,water,ghost,waterabsorb,cursedbody,damp,100,60,70,85,105,60,0
Alomomola,alomomola,alomomola,water,,healer,hydration,regenerator,165,75,80,40,45,65,0
